Year,GDP (current US$),Population growth (annual %),Inflation (annual %),GNI growth (annual %),Exports (annual % growth),Imports (annual % growth)
1961,50316845349,2.380689118,3.167230638,3.624445582,0.343235479,4.969121699
1962,53705588863,2.391225066,0.159948178,2.903355068,3.01822535,1.895653976
1963,60408336536,2.397874781,3.569925064,6.043225533,10.68206345,11.5582957
1964,69158979751,2.399401105,1.598710454,7.407094053,-3.459095959,8.083382916
1965,74274480736,2.353917553,7.931704957,-2.691398106,-5.651497821,2.101460644
1966,62456590528,2.293106458,6.296188834,-0.198220106,13.62859393,4.423833322
1967,68712974998,2.28537655,7.939641766,7.891508378,3.726140766,9.057747867
1968,72018455260,2.322085525,2.415383585,3.411957751,3.417929211,-1.860987109
1969,79172005440,2.340387511,3.343364338,6.561092471,1.471492505,-7.40067442
1970,85711858424,2.31289478,3.708353022,5.182202393,20.59901351,26.84480921
1971,91168836289,2.183559446,3.172176141,1.668315447,-1.707857952,-8.476034728
1972,91653342271,2.208137998,8.966860024,-0.523477266,-1.567376219,-15.6956569
1973,1.05E+11,2.349599614,15.30147354,3.33738303,7.778401967,-17.68439834
1974,1.27E+11,2.354149469,24.37874263,2.262585966,-3.115976596,-5.168265688
1975,1.36E+11,2.33264951,21.09809891,7.532836372,15.84013706,-4.123825675
1976,1.33E+11,2.300515121,5.981859341,2.123118809,16.57784129,9.070486511
1977,1.54E+11,2.310954526,5.637229338,6.711047623,-5.636013005,7.168503895
1978,1.75E+11,2.328178346,9.371206914,5.952404449,7.647920737,9.583331663
1979,1.96E+11,2.334453541,12.56450599,-3.886726641,12.11902251,23.65496468
1980,2.36E+11,2.368991281,11.50832081,6.164008273,7.021226547,11.24426746
1981,2.50E+11,2.34289363,9.986014944,6.187885127,1.952053101,-12.94181437
1982,2.59E+11,2.355189781,9.359528705,3.017382877,2.978095249,2.909902067
1983,2.74E+11,2.415148372,8.52030774,6.945174601,4.220979265,14.84588509
1984,2.73E+11,2.411635525,8.78839365,3.792226094,3.575087884,-3.350333632
1985,2.97E+11,2.393864706,6.851200072,4.961719018,-3.266897145,9.572218765
1986,3.14E+11,2.360294277,6.987419178,4.694062701,11.93101268,6.597349344
1987,3.49E+11,2.322722746,8.53969245,4.238175406,10.6174353,0.272436385
1988,3.75E+11,2.310455112,9.867297341,8.351285146,4.52769321,3.087139551
1989,3.78E+11,2.305445474,8.510928443,5.399906409,11.67277548,4.896954079
1990,4.07E+11,2.254888252,8.600519571,5.174756604,8.460959372,1.254280324
1991,3.62E+11,2.204710009,11.58433068,1.74576432,14.15844549,-3.138319269
1992,3.85E+11,2.220393685,9.184429238,5.866265141,7.914682557,22.07531103
1993,3.81E+11,2.245403108,9.35016799,4.286599696,10.25098556,17.70768564
1994,4.32E+11,2.211218631,9.875314798,6.045487079,10.19784341,7.972823693
1995,4.80E+11,2.142673409,8.673542492,7.090908609,20.24840052,19.48206147
1996,5.25E+11,2.082496717,8.112632814,6.900774721,5.32758476,3.130025251
1997,5.51E+11,2.045298654,7.279092987,3.644850234,-1.141566507,7.361966926
1998,5.58E+11,2.022834388,7.526036899,5.499592073,9.079318241,12.25924536
1999,5.98E+11,1.996860565,4.162701159,8.012484294,12.79463479,3.968858268
2000,6.30E+11,1.962433736,4.472433715,3.884151679,17.67270886,4.092338444
2001,6.46E+11,1.944592319,5.358776045,4.794006356,4.905208494,2.478286414
2002,6.77E+11,1.932349579,3.892867435,3.768205943,16.72969329,8.726418658
2003,7.91E+11,1.864337445,3.563201419,7.286884061,10.93669026,12.74332952
2004,9.17E+11,1.767351056,6.528012451,7.715906506,23.54655398,18.77441884
2005,1.05E+12,1.684831926,6.979577026,7.580881501,23.92426235,31.6749207
2006,1.20E+12,1.595131154,7.362936965,7.685395629,18.68293301,19.99750397
2007,1.50E+12,1.500898991,7.438804136,7.507666453,5.930147919,8.113265525
2008,1.53E+12,1.459171866,8.527467859,3.141241049,11.71048201,17.50251523
2009,1.68E+12,1.466455476,6.902360061,6.935381323,-4.656396802,-3.65649205
2010,2.06E+12,1.472242462,8.835346941,7.085908674,17.37914173,13.67769272
2011,2.28E+12,1.463577884,10.6842835,5.237071159,14.97310899,18.84897639
2012,2.30E+12,1.405682042,7.83776815,5.100944948,5.436742136,5.396666738
2013,2.36E+12,1.347834814,6.341620478,5.995331462,7.734936705,-6.378187858
2014,2.59E+12,1.295778446,5.154816174,6.944417939,1.80293463,1.330640631
2015,2.70E+12,1.232323215,3.833658412,7.479557554,-5.176356959,-4.027229056
2016,3.01E+12,1.220816454,4.913316505,6.831701561,4.317775296,4.438173859
2017,3.43E+12,1.225397229,4.538671788,7.284635996,4.172781629,16.32562757
2018,3.53E+12,1.191146284,3.863013452,6.418816872,11.2033986,10.39552344
2019,3.65E+12,1.144473285,3.76433785,3.924764823,-1.351321821,0.055514004
2020,3.49E+12,1.124469419,4.720985712,-5.500687484,-10.19563168,-13.23213981
2021,4.09E+12,1.02946393,5.107622533,8.111233765,21.86775038,30.3711344
